ID,Type of Service,Category,Category Description
1,Essential help,Housing,"Refuges, logements temporaires, allègement hypothécaire"
2,Essential help,Food,"Nourriture ou avantages alimentaires"
3,Essential help,Pets,"Animal de compagnie perdu ou trouvé, et plus"
4,Essential help,Health,"Rester en bonne santé, santé mentale"
5,Essential help,Individual help,"Programmes d'aide étatiques et fédéraux (FEMA) pour les survivants de catastrophes"
6,Essential help,Personal documents,"Permis de conduire, actes de naissance, de décès et de mariage"
7,Start recovering,Returning home,"Évaluations, nettoyage, enlèvement des débris"
8,Start recovering,Insurance,"Assurance habitation et réclamations d'assurance"
9,Start recovering,Rebuilding,"Trouver un entrepreneur, vérifier une licence professionnelle"
10,Start recovering,Employment,"Chômage, invalidité, trouver un emploi"
11,Start recovering,Taxes,"Allègement pour les impôts sur le revenu et les taxes foncières"
12,Business help,Support,"Aide financière, reprise, paiements de secours en cas de catastrophe, petites entreprises"
13,Business help,Tax help and relief,"Impôts sur le revenu, taxe de vente, taxes sur la paie"
