ID,Key,Type of Service,Category,Category Description
1,essential_help_housing,Essential help,Housing,"Shelters, temporary housing, mortgage relief"
2,essential_help_food,Essential help,Food,Food or food benefits
3,essential_help_pets,Essential help,Pets,"Lost or found a pet, and more"
4,essential_help_health,Essential help,Health,"Staying healthy, mental health"
5,essential_help_individual_help,Essential help,Individual help,State and federal (FEMA) programs that help disaster survivors
6,essential_help_personal_documents,Essential help,Personal documents,"Driver's license, birth, death, and marriage records"
7,start_recovering_returning_home,Start recovering,Returning home,"Assessments, cleanup, debris removal"
8,start_recovering_insurance,Start recovering,Insurance,Home insurance and insurance claims
9,start_recovering_rebuilding,Start recovering,Rebuilding,"Find a contractor, verify a professional license"
10,start_recovering_employment,Start recovering,Employment,"Unemployment, disability, find a job"
11,start_recovering_taxes,Start recovering,Taxes,Relief for income and property taxes
12,business_help_support,Business help,Support,"Financial help, recovery, disaster relief payments, small businesses"
13,business_help_tax_help_and_relief,Business help,Tax help and relief,"Income taxes, sales tax, payroll taxes"
